"dia";"hora";"sanpedro/006/VoltR"
"2013-05-09";"03:51:32";0
"2013-05-09";"03:46:31";0
"2013-05-09";"03:41:30";0
"2013-05-09";"03:36:30";0
"2013-05-09";"03:31:28";0
"2013-05-09";"03:26:28";0
"2013-05-09";"03:21:27";0
"2013-05-09";"03:16:26";0
"2013-05-09";"03:11:25";0
"2013-05-09";"03:06:25";0
"2013-05-09";"03:01:25";0
"2013-05-09";"02:56:25";0
"2013-05-09";"02:51:24";0
"2013-05-09";"02:46:24";0
"2013-05-09";"02:41:19";0
"2013-05-09";"02:36:13";0
"2013-05-09";"02:31:13";0
"2013-05-09";"02:26:13";0
"2013-05-09";"02:21:07";0
"2013-05-09";"02:16:07";0
"2013-05-09";"02:11:07";0
"2013-05-09";"02:06:07";0
"2013-05-09";"02:01:07";0
"2013-05-09";"01:56:02";0
"2013-05-09";"01:51:01";0
"2013-05-09";"01:46:01";0
"2013-05-09";"01:41:01";0
"2013-05-09";"01:36:01";0
"2013-05-09";"01:31:00";0
"2013-05-09";"01:26:00";0
"2013-05-09";"01:20:59";0
"2013-05-09";"01:15:59";0
"2013-05-09";"01:10:59";0
"2013-05-09";"01:05:53";0
"2013-05-09";"01:00:48";0
"2013-05-09";"00:55:43";0
"2013-05-09";"00:50:42";0
"2013-05-09";"00:45:42";0
"2013-05-09";"00:40:42";0
"2013-05-09";"00:35:41";0
"2013-05-09";"00:30:41";0
"2013-05-09";"00:25:41";0
"2013-05-09";"00:20:41";0
"2013-05-09";"00:15:41";0
"2013-05-09";"00:10:35";0
"2013-05-09";"00:05:35";0
"2013-05-09";"00:00:35";0
