"inicio";"fin";"humidity (sanpedro 002)";"std";"min";"max";"temperature (sanpedro 002)";"std";"min";"max"
"2013-05-22 00:00:00";"2013-05-22 00:10:00";;;;;;;;
"2013-05-22 00:10:00";"2013-05-22 00:20:00";;;;;;;;
"2013-05-22 00:20:00";"2013-05-22 00:30:00";;;;;;;;
"2013-05-22 00:30:00";"2013-05-22 00:40:00";;;;;;;;
"2013-05-22 00:40:00";"2013-05-22 00:50:00";;;;;;;;
"2013-05-22 00:50:00";"2013-05-22 01:00:00";;;;;;;;
"2013-05-22 01:00:00";"2013-05-22 01:10:00";;;;;;;;
"2013-05-22 01:10:00";"2013-05-22 01:20:00";;;;;;;;
"2013-05-22 01:20:00";"2013-05-22 01:30:00";;;;;;;;
"2013-05-22 01:30:00";"2013-05-22 01:40:00";;;;;;;;
"2013-05-22 01:40:00";"2013-05-22 01:50:00";;;;;;;;
"2013-05-22 01:50:00";"2013-05-22 02:00:00";;;;;;;;
"2013-05-22 02:00:00";"2013-05-22 02:10:00";;;;;;;;
"2013-05-22 02:10:00";"2013-05-22 02:20:00";;;;;;;;
"2013-05-22 02:20:00";"2013-05-22 02:30:00";;;;;;;;
"2013-05-22 02:30:00";"2013-05-22 02:40:00";;;;;;;;
"2013-05-22 02:40:00";"2013-05-22 02:50:00";;;;;;;;
"2013-05-22 02:50:00";"2013-05-22 03:00:00";;;;;;;;
"2013-05-22 03:00:00";"2013-05-22 03:10:00";;;;;;;;
"2013-05-22 03:10:00";"2013-05-22 03:20:00";;;;;;;;
"2013-05-22 03:20:00";"2013-05-22 03:30:00";;;;;;;;
"2013-05-22 03:30:00";"2013-05-22 03:40:00";;;;;;;;
"2013-05-22 03:40:00";"2013-05-22 03:50:00";;;;;;;;
"2013-05-22 03:50:00";"2013-05-22 04:00:00";;;;;;;;
"2013-05-22 04:00:00";"2013-05-22 04:10:00";;;;;;;;
"2013-05-22 04:10:00";"2013-05-22 04:20:00";;;;;;;;
"2013-05-22 04:20:00";"2013-05-22 04:30:00";;;;;;;;
"2013-05-22 04:30:00";"2013-05-22 04:40:00";;;;;;;;
"2013-05-22 04:40:00";"2013-05-22 04:50:00";;;;;;;;
"2013-05-22 04:50:00";"2013-05-22 05:00:00";;;;;;;;
"2013-05-22 05:00:00";"2013-05-22 05:10:00";;;;;;;;
"2013-05-22 05:10:00";"2013-05-22 05:20:00";;;;;;;;
"2013-05-22 05:20:00";"2013-05-22 05:30:00";;;;;;;;
"2013-05-22 05:30:00";"2013-05-22 05:40:00";;;;;;;;
"2013-05-22 05:40:00";"2013-05-22 05:50:00";;;;;;;;
"2013-05-22 05:50:00";"2013-05-22 06:00:00";;;;;;;;
"2013-05-22 06:00:00";"2013-05-22 06:10:00";;;;;;;;
"2013-05-22 06:10:00";"2013-05-22 06:20:00";;;;;;;;
"2013-05-22 06:20:00";"2013-05-22 06:30:00";;;;;;;;
"2013-05-22 06:30:00";"2013-05-22 06:40:00";;;;;;;;
"2013-05-22 06:40:00";"2013-05-22 06:50:00";;;;;;;;
"2013-05-22 06:50:00";"2013-05-22 07:00:00";;;;;;;;
"2013-05-22 07:00:00";"2013-05-22 07:10:00";;;;;;;;
"2013-05-22 07:10:00";"2013-05-22 07:20:00";;;;;;;;
"2013-05-22 07:20:00";"2013-05-22 07:30:00";;;;;;;;
"2013-05-22 07:30:00";"2013-05-22 07:40:00";;;;;;;;
"2013-05-22 07:40:00";"2013-05-22 07:50:00";;;;;;;;
"2013-05-22 07:50:00";"2013-05-22 08:00:00";;;;;;;;
"2013-05-22 08:00:00";"2013-05-22 08:10:00";;;;;;;;
"2013-05-22 08:10:00";"2013-05-22 08:20:00";;;;;;;;
"2013-05-22 08:20:00";"2013-05-22 08:30:00";;;;;;;;
