"inicio";"fin";"humidity (marly 003)";"std";"min";"max";"temperature (marly 003)";"std";"min";"max"
"2013-04-25 09:00:00";"2013-04-25 12:00:00";;;;;;;;
"2013-04-25 12:00:00";"2013-04-25 15:00:00";;;;;;;;
"2013-04-25 15:00:00";"2013-04-25 18:00:00";;;;;;;;
"2013-04-25 18:00:00";"2013-04-25 21:00:00";;;;;;;;
"2013-04-25 21:00:00";"2013-04-26 00:00:00";;;;;;;;
"2013-04-26 00:00:00";"2013-04-26 03:00:00";;;;;;;;
"2013-04-26 03:00:00";"2013-04-26 06:00:00";;;;;;;;
"2013-04-26 06:00:00";"2013-04-26 09:00:00";;;;;;;;
"2013-04-26 09:00:00";"2013-04-26 12:00:00";;;;;;;;
"2013-04-26 12:00:00";"2013-04-26 15:00:00";;;;;;;;
"2013-04-26 15:00:00";"2013-04-26 18:00:00";50.16667;2.10766;47.2;51.9;25.4;0.69761;24.6;26.3
"2013-04-26 18:00:00";"2013-04-26 21:00:00";;;;;;;;
"2013-04-26 21:00:00";"2013-04-27 00:00:00";;;;;;;;
"2013-04-27 00:00:00";"2013-04-27 03:00:00";;;;;;;;
"2013-04-27 03:00:00";"2013-04-27 06:00:00";;;;;;;;
"2013-04-27 06:00:00";"2013-04-27 09:00:00";;;;;;;;
"2013-04-27 09:00:00";"2013-04-27 12:00:00";;;;;;;;
"2013-04-27 12:00:00";"2013-04-27 15:00:00";;;;;;;;
"2013-04-27 15:00:00";"2013-04-27 18:00:00";;;;;;;;
"2013-04-27 18:00:00";"2013-04-27 21:00:00";;;;;;;;
"2013-04-27 21:00:00";"2013-04-28 00:00:00";;;;;;;;
"2013-04-28 00:00:00";"2013-04-28 03:00:00";;;;;;;;
"2013-04-28 03:00:00";"2013-04-28 06:00:00";;;;;;;;
"2013-04-28 06:00:00";"2013-04-28 09:00:00";;;;;;;;
"2013-04-28 09:00:00";"2013-04-28 12:00:00";;;;;;;;
"2013-04-28 12:00:00";"2013-04-28 15:00:00";;;;;;;;
"2013-04-28 15:00:00";"2013-04-28 18:00:00";;;;;;;;
"2013-04-28 18:00:00";"2013-04-28 21:00:00";;;;;;;;
"2013-04-28 21:00:00";"2013-04-29 00:00:00";;;;;;;;
"2013-04-29 00:00:00";"2013-04-29 03:00:00";;;;;;;;
"2013-04-29 03:00:00";"2013-04-29 06:00:00";;;;;;;;
"2013-04-29 06:00:00";"2013-04-29 09:00:00";;;;;;;;
"2013-04-29 09:00:00";"2013-04-29 12:00:00";;;;;;;;
"2013-04-29 12:00:00";"2013-04-29 15:00:00";;;;;;;;
"2013-04-29 15:00:00";"2013-04-29 18:00:00";;;;;;;;
"2013-04-29 18:00:00";"2013-04-29 21:00:00";;;;;;;;
"2013-04-29 21:00:00";"2013-04-30 00:00:00";;;;;;;;
"2013-04-30 00:00:00";"2013-04-30 03:00:00";;;;;;;;
"2013-04-30 03:00:00";"2013-04-30 06:00:00";;;;;;;;
"2013-04-30 06:00:00";"2013-04-30 09:00:00";;;;;;;;
"2013-04-30 09:00:00";"2013-04-30 12:00:00";;;;;;;;
"2013-04-30 12:00:00";"2013-04-30 15:00:00";;;;;;;;
"2013-04-30 15:00:00";"2013-04-30 18:00:00";;;;;;;;
"2013-04-30 18:00:00";"2013-04-30 21:00:00";;;;;;;;
"2013-04-30 21:00:00";"2013-05-01 00:00:00";;;;;;;;
"2013-05-01 00:00:00";"2013-05-01 03:00:00";;;;;;;;
"2013-05-01 03:00:00";"2013-05-01 06:00:00";;;;;;;;
"2013-05-01 06:00:00";"2013-05-01 09:00:00";;;;;;;;
"2013-05-01 09:00:00";"2013-05-01 12:00:00";;;;;;;;
"2013-05-01 12:00:00";"2013-05-01 15:00:00";;;;;;;;
"2013-05-01 15:00:00";"2013-05-01 18:00:00";;;;;;;;
"2013-05-01 18:00:00";"2013-05-01 21:00:00";;;;;;;;
"2013-05-01 21:00:00";"2013-05-02 00:00:00";;;;;;;;
"2013-05-02 00:00:00";"2013-05-02 03:00:00";;;;;;;;
"2013-05-02 03:00:00";"2013-05-02 06:00:00";;;;;;;;
"2013-05-02 06:00:00";"2013-05-02 09:00:00";;;;;;;;
"2013-05-02 09:00:00";"2013-05-02 12:00:00";;;;;;;;
