"inicio";"fin";"humidity (marly 003)";"std";"min";"max"
"2013-04-29 21:00:00";"2013-04-30 00:00:00";;;;
"2013-04-30 00:00:00";"2013-04-30 03:00:00";;;;
"2013-04-30 03:00:00";"2013-04-30 06:00:00";;;;
"2013-04-30 06:00:00";"2013-04-30 09:00:00";;;;
"2013-04-30 09:00:00";"2013-04-30 12:00:00";;;;
"2013-04-30 12:00:00";"2013-04-30 15:00:00";;;;
"2013-04-30 15:00:00";"2013-04-30 18:00:00";;;;
"2013-04-30 18:00:00";"2013-04-30 21:00:00";;;;
"2013-04-30 21:00:00";"2013-05-01 00:00:00";;;;
"2013-05-01 00:00:00";"2013-05-01 03:00:00";;;;
"2013-05-01 03:00:00";"2013-05-01 06:00:00";;;;
"2013-05-01 06:00:00";"2013-05-01 09:00:00";;;;
"2013-05-01 09:00:00";"2013-05-01 12:00:00";;;;
"2013-05-01 12:00:00";"2013-05-01 15:00:00";;;;
"2013-05-01 15:00:00";"2013-05-01 18:00:00";;;;
"2013-05-01 18:00:00";"2013-05-01 21:00:00";;;;
"2013-05-01 21:00:00";"2013-05-02 00:00:00";;;;
"2013-05-02 00:00:00";"2013-05-02 03:00:00";;;;
"2013-05-02 03:00:00";"2013-05-02 06:00:00";;;;
"2013-05-02 06:00:00";"2013-05-02 09:00:00";;;;
"2013-05-02 09:00:00";"2013-05-02 12:00:00";;;;
"2013-05-02 12:00:00";"2013-05-02 15:00:00";;;;
"2013-05-02 15:00:00";"2013-05-02 18:00:00";;;;
"2013-05-02 18:00:00";"2013-05-02 21:00:00";;;;
"2013-05-02 21:00:00";"2013-05-03 00:00:00";;;;
"2013-05-03 00:00:00";"2013-05-03 03:00:00";;;;
"2013-05-03 03:00:00";"2013-05-03 06:00:00";;;;
"2013-05-03 06:00:00";"2013-05-03 09:00:00";;;;
"2013-05-03 09:00:00";"2013-05-03 12:00:00";;;;
"2013-05-03 12:00:00";"2013-05-03 15:00:00";;;;
"2013-05-03 15:00:00";"2013-05-03 18:00:00";;;;
"2013-05-03 18:00:00";"2013-05-03 21:00:00";;;;
"2013-05-03 21:00:00";"2013-05-04 00:00:00";;;;
"2013-05-04 00:00:00";"2013-05-04 03:00:00";;;;
"2013-05-04 03:00:00";"2013-05-04 06:00:00";;;;
"2013-05-04 06:00:00";"2013-05-04 09:00:00";;;;
"2013-05-04 09:00:00";"2013-05-04 12:00:00";;;;
"2013-05-04 12:00:00";"2013-05-04 15:00:00";;;;
"2013-05-04 15:00:00";"2013-05-04 18:00:00";;;;
"2013-05-04 18:00:00";"2013-05-04 21:00:00";;;;
"2013-05-04 21:00:00";"2013-05-05 00:00:00";;;;
"2013-05-05 00:00:00";"2013-05-05 03:00:00";;;;
"2013-05-05 03:00:00";"2013-05-05 06:00:00";;;;
"2013-05-05 06:00:00";"2013-05-05 09:00:00";;;;
"2013-05-05 09:00:00";"2013-05-05 12:00:00";;;;
"2013-05-05 12:00:00";"2013-05-05 15:00:00";;;;
"2013-05-05 15:00:00";"2013-05-05 18:00:00";;;;
"2013-05-05 18:00:00";"2013-05-05 21:00:00";;;;
"2013-05-05 21:00:00";"2013-05-06 00:00:00";;;;
"2013-05-06 00:00:00";"2013-05-06 03:00:00";;;;
"2013-05-06 03:00:00";"2013-05-06 06:00:00";;;;
"2013-05-06 06:00:00";"2013-05-06 09:00:00";;;;
"2013-05-06 09:00:00";"2013-05-06 12:00:00";;;;
"2013-05-06 12:00:00";"2013-05-06 15:00:00";;;;
"2013-05-06 15:00:00";"2013-05-06 18:00:00";;;;
"2013-05-06 18:00:00";"2013-05-06 21:00:00";;;;
"2013-05-06 21:00:00";"2013-05-07 00:00:00";;;;
"2013-05-07 00:00:00";"2013-05-07 03:00:00";;;;
"2013-05-07 03:00:00";"2013-05-07 06:00:00";;;;
"2013-05-07 06:00:00";"2013-05-07 09:00:00";;;;
"2013-05-07 09:00:00";"2013-05-07 12:00:00";;;;
"2013-05-07 12:00:00";"2013-05-07 15:00:00";;;;
"2013-05-07 15:00:00";"2013-05-07 18:00:00";;;;
"2013-05-07 18:00:00";"2013-05-07 21:00:00";;;;
"2013-05-07 21:00:00";"2013-05-08 00:00:00";;;;
"2013-05-08 00:00:00";"2013-05-08 03:00:00";;;;
"2013-05-08 03:00:00";"2013-05-08 06:00:00";;;;
"2013-05-08 06:00:00";"2013-05-08 09:00:00";;;;
"2013-05-08 09:00:00";"2013-05-08 12:00:00";;;;
"2013-05-08 12:00:00";"2013-05-08 15:00:00";;;;
"2013-05-08 15:00:00";"2013-05-08 18:00:00";;;;
"2013-05-08 18:00:00";"2013-05-08 21:00:00";;;;
"2013-05-08 21:00:00";"2013-05-09 00:00:00";;;;
"2013-05-09 00:00:00";"2013-05-09 03:00:00";;;;
"2013-05-09 03:00:00";"2013-05-09 06:00:00";;;;
"2013-05-09 06:00:00";"2013-05-09 09:00:00";;;;
"2013-05-09 09:00:00";"2013-05-09 12:00:00";65.77826;8.89929;54.1;83.1
"2013-05-09 12:00:00";"2013-05-09 15:00:00";;;;
"2013-05-09 15:00:00";"2013-05-09 18:00:00";;;;
"2013-05-09 18:00:00";"2013-05-09 21:00:00";;;;
"2013-05-09 21:00:00";"2013-05-10 00:00:00";;;;
"2013-05-10 00:00:00";"2013-05-10 03:00:00";;;;
"2013-05-10 03:00:00";"2013-05-10 06:00:00";86.3;0.28284;85.9;86.5
"2013-05-10 06:00:00";"2013-05-10 09:00:00";73.81212;11.79064;57.3;86.8
"2013-05-10 09:00:00";"2013-05-10 12:00:00";61.39038;10.74454;35.8;84
"2013-05-10 12:00:00";"2013-05-10 15:00:00";63.53375;10.87113;41.6;84.8
"2013-05-10 15:00:00";"2013-05-10 18:00:00";72.76027;11.58075;52.1;87.2
"2013-05-10 18:00:00";"2013-05-10 21:00:00";86.65158;0.40093;84;87.1
"2013-05-10 21:00:00";"2013-05-11 00:00:00";86.581;0.34602;86.2;87
"2013-05-11 00:00:00";"2013-05-11 03:00:00";86.37068;0.37206;83.7;86.9
"2013-05-11 03:00:00";"2013-05-11 06:00:00";86.20741;0.36978;83.5;86.7
"2013-05-11 06:00:00";"2013-05-11 09:00:00";68.70183;17.32166;34.4;87.3
"2013-05-11 09:00:00";"2013-05-11 12:00:00";53.81126;11.79422;32.1;83.7
"2013-05-11 12:00:00";"2013-05-11 15:00:00";64.33106;4.21879;55.4;75.3
"2013-05-11 15:00:00";"2013-05-11 18:00:00";78.57387;6.68492;62.4;87.3
"2013-05-11 18:00:00";"2013-05-11 21:00:00";86.47791;0.31342;84;87.1
