"inicio";"fin";"humidity (fantasy 003)";"std";"min";"max";"temp_dry (fantasy 003)";"std";"min";"max";"temp_wet (fantasy 003)";"std";"min";"max"
"2013-06-26 07:36:00";"2013-06-26 17:24:00";;;;;;;;;;;;
"2013-06-26 17:24:00";"2013-06-27 03:12:00";95.5;2.87228;91;98;7.19167;1.077;5.3;9;6.84583;0.86842;5.1;8.2
"2013-06-27 03:12:00";"2013-06-27 13:00:00";68.54672;16.40074;44;100;16.15621;5.49238;4.5;25.2;12.08703;3.37184;4.4;18
"2013-06-27 13:00:00";"2013-06-27 22:48:00";74.70445;17.04304;41;94;15.56174;4.81436;8.9;26.7;12.33917;2.65633;8.4;19.9
"2013-06-27 22:48:00";"2013-06-28 08:36:00";90.93503;4.27837;73;97;10.69624;1.28967;9.3;16.6;9.86173;0.84175;8.9;13.6
"2013-06-28 08:36:00";"2013-06-28 18:24:00";65.42308;7.59962;45;88;18.27551;2.6471;11.1;24.5;13.87034;1.91396;9.9;18
"2013-06-28 18:24:00";"2013-06-29 04:12:00";93.26452;3.60088;87;98;6.77334;1.93831;3.5;12.2;6.22541;1.68705;3.4;10.9
"2013-06-29 04:12:00";"2013-06-29 14:00:00";84.03476;13.91167;53;98;10.68507;5.25126;5.2;24;8.88262;3.35561;5;17.6
"2013-06-29 14:00:00";"2013-06-29 23:48:00";;;;;;;;;;;;
"2013-06-29 23:48:00";"2013-06-30 09:36:00";;;;;;;;;;;;
"2013-06-30 09:36:00";"2013-06-30 19:24:00";;;;;;;;;;;;
"2013-06-30 19:24:00";"2013-07-01 05:12:00";;;;;;;;;;;;
"2013-07-01 05:12:00";"2013-07-01 15:00:00";;;;;;;;;;;;
"2013-07-01 15:00:00";"2013-07-02 00:48:00";;;;;;;;;;;;
"2013-07-02 00:48:00";"2013-07-02 10:36:00";;;;;;;;;;;;
"2013-07-02 10:36:00";"2013-07-02 20:24:00";;;;;;;;;;;;
"2013-07-02 20:24:00";"2013-07-03 06:12:00";;;;;;;;;;;;
"2013-07-03 06:12:00";"2013-07-03 16:00:00";;;;;;;;;;;;
"2013-07-03 16:00:00";"2013-07-04 01:48:00";;;;;;;;;;;;
"2013-07-04 01:48:00";"2013-07-04 11:36:00";51.52;5.13435;44;67;22.2352;3.02111;17.5;27.3;15.2464;2.82105;11.5;19.9
"2013-07-04 11:36:00";"2013-07-04 21:24:00";76.8203;13.89282;46;97;15.88365;4.72167;8.5;25.2;12.98822;2.88416;8.2;19
"2013-07-04 21:24:00";"2013-07-05 07:12:00";93.67576;4.99464;68;100;7.61394;2.24043;3.5;14.8;7.08697;1.99265;3.4;11.2
"2013-07-05 07:12:00";"2013-07-05 17:00:00";65.01629;10.98313;42;89;17.53035;3.17823;10;27.1;13.08554;2.08744;9;20.1
"2013-07-05 17:00:00";"2013-07-06 02:48:00";88.33671;5.86364;73;97;10.70029;1.67836;7.4;14.2;9.58223;1.18759;7;12.8
"2013-07-06 02:48:00";"2013-07-06 12:36:00";;;;;;;;;;;;
"2013-07-06 12:36:00";"2013-07-06 22:24:00";;;;;;;;;;;;
"2013-07-06 22:24:00";"2013-07-07 08:12:00";;;;;;;;;;;;
"2013-07-07 08:12:00";"2013-07-07 18:00:00";;;;;;;;;;;;
"2013-07-07 18:00:00";"2013-07-08 03:48:00";;;;;;;;;;;;
"2013-07-08 03:48:00";"2013-07-08 13:36:00";;;;;;;;;;;;
"2013-07-08 13:36:00";"2013-07-08 23:24:00";;;;;;;;;;;;
"2013-07-08 23:24:00";"2013-07-09 09:12:00";;;;;;;;;;;;
"2013-07-09 09:12:00";"2013-07-09 19:00:00";;;;;;;;;;;;
"2013-07-09 19:00:00";"2013-07-10 04:48:00";;;;;;;;;;;;
"2013-07-10 04:48:00";"2013-07-10 14:36:00";;;;;;;;;;;;
"2013-07-10 14:36:00";"2013-07-11 00:24:00";;;;;;;;;;;;
"2013-07-11 00:24:00";"2013-07-11 10:12:00";;;;;;;;;;;;
"2013-07-11 10:12:00";"2013-07-11 20:00:00";;;;;;;;;;;;
"2013-07-11 20:00:00";"2013-07-12 05:48:00";;;;;;;;;;;;
"2013-07-12 05:48:00";"2013-07-12 15:36:00";;;;;;;;;;;;
"2013-07-12 15:36:00";"2013-07-13 01:24:00";;;;;;;;;;;;
"2013-07-13 01:24:00";"2013-07-13 11:12:00";;;;;;;;;;;;
"2013-07-13 11:12:00";"2013-07-13 21:00:00";;;;;;;;;;;;
"2013-07-13 21:00:00";"2013-07-14 06:48:00";;;;;;;;;;;;
"2013-07-14 06:48:00";"2013-07-14 16:36:00";;;;;;;;;;;;
"2013-07-14 16:36:00";"2013-07-15 02:24:00";;;;;;;;;;;;
"2013-07-15 02:24:00";"2013-07-15 12:12:00";;;;;;;;;;;;
"2013-07-15 12:12:00";"2013-07-15 22:00:00";;;;;;;;;;;;
"2013-07-15 22:00:00";"2013-07-16 07:48:00";;;;;;;;;;;;
"2013-07-16 07:48:00";"2013-07-16 17:36:00";;;;;;;;;;;;
"2013-07-16 17:36:00";"2013-07-17 03:24:00";;;;;;;;;;;;
"2013-07-17 03:24:00";"2013-07-17 13:12:00";;;;;;;;;;;;
"2013-07-17 13:12:00";"2013-07-17 23:00:00";;;;;;;;;;;;
"2013-07-17 23:00:00";"2013-07-18 08:48:00";;;;;;;;;;;;
"2013-07-18 08:48:00";"2013-07-18 18:36:00";;;;;;;;;;;;
"2013-07-18 18:36:00";"2013-07-19 04:24:00";;;;;;;;;;;;
"2013-07-19 04:24:00";"2013-07-19 14:12:00";;;;;;;;;;;;
"2013-07-19 14:12:00";"2013-07-20 00:00:00";;;;;;;;;;;;
"2013-07-20 00:00:00";"2013-07-20 09:48:00";;;;;;;;;;;;
"2013-07-20 09:48:00";"2013-07-20 19:36:00";;;;;;;;;;;;
"2013-07-20 19:36:00";"2013-07-21 05:24:00";;;;;;;;;;;;
"2013-07-21 05:24:00";"2013-07-21 15:12:00";;;;;;;;;;;;
"2013-07-21 15:12:00";"2013-07-22 01:00:00";;;;;;;;;;;;
"2013-07-22 01:00:00";"2013-07-22 10:48:00";;;;;;;;;;;;
"2013-07-22 10:48:00";"2013-07-22 20:36:00";;;;;;;;;;;;
"2013-07-22 20:36:00";"2013-07-23 06:24:00";;;;;;;;;;;;
"2013-07-23 06:24:00";"2013-07-23 16:12:00";;;;;;;;;;;;
"2013-07-23 16:12:00";"2013-07-24 02:00:00";;;;;;;;;;;;
"2013-07-24 02:00:00";"2013-07-24 11:48:00";;;;;;;;;;;;
"2013-07-24 11:48:00";"2013-07-24 21:36:00";;;;;;;;;;;;
"2013-07-24 21:36:00";"2013-07-25 07:24:00";;;;;;;;;;;;
"2013-07-25 07:24:00";"2013-07-25 17:12:00";;;;;;;;;;;;
"2013-07-25 17:12:00";"2013-07-26 03:00:00";;;;;;;;;;;;
"2013-07-26 03:00:00";"2013-07-26 12:48:00";;;;;;;;;;;;
"2013-07-26 12:48:00";"2013-07-26 22:36:00";;;;;;;;;;;;
"2013-07-26 22:36:00";"2013-07-27 08:24:00";;;;;;;;;;;;
"2013-07-27 08:24:00";"2013-07-27 18:12:00";;;;;;;;;;;;
"2013-07-27 18:12:00";"2013-07-28 04:00:00";;;;;;;;;;;;
"2013-07-28 04:00:00";"2013-07-28 13:48:00";;;;;;;;;;;;
"2013-07-28 13:48:00";"2013-07-28 23:36:00";;;;;;;;;;;;
"2013-07-28 23:36:00";"2013-07-29 09:24:00";;;;;;;;;;;;
"2013-07-29 09:24:00";"2013-07-29 19:12:00";;;;;;;;;;;;
"2013-07-29 19:12:00";"2013-07-30 05:00:00";;;;;;;;;;;;
"2013-07-30 05:00:00";"2013-07-30 14:48:00";;;;;;;;;;;;
"2013-07-30 14:48:00";"2013-07-31 00:36:00";;;;;;;;;;;;
"2013-07-31 00:36:00";"2013-07-31 10:24:00";;;;;;;;;;;;
"2013-07-31 10:24:00";"2013-07-31 20:12:00";;;;;;;;;;;;
"2013-07-31 20:12:00";"2013-08-01 06:00:00";;;;;;;;;;;;
"2013-08-01 06:00:00";"2013-08-01 15:48:00";;;;;;;;;;;;
"2013-08-01 15:48:00";"2013-08-02 01:36:00";;;;;;;;;;;;
"2013-08-02 01:36:00";"2013-08-02 11:24:00";;;;;;;;;;;;
"2013-08-02 11:24:00";"2013-08-02 21:12:00";;;;;;;;;;;;
"2013-08-02 21:12:00";"2013-08-03 07:00:00";;;;;;;;;;;;
"2013-08-03 07:00:00";"2013-08-03 16:48:00";;;;;;;;;;;;
"2013-08-03 16:48:00";"2013-08-04 02:36:00";;;;;;;;;;;;
"2013-08-04 02:36:00";"2013-08-04 12:24:00";;;;;;;;;;;;
"2013-08-04 12:24:00";"2013-08-04 22:12:00";;;;;;;;;;;;
"2013-08-04 22:12:00";"2013-08-05 08:00:00";;;;;;;;;;;;
